,course_name,course_category,course_subcategory,students_enrolled,course_difficulty,course_rating,course_rating_count
816,Discussing Politics and Debates Teach-Out ,Social Sciences,Governance and Society,"5,952",Beginner Level,,
817,Federalism & Decentralization: Evaluating Africa's Track Record,Social Sciences,Governance and Society,"3,804",Approx. 20 hours to complete,4.6,111 ratings
818,Decentralized Applications (Dapps),Computer Science,Software Development,"46,454",Approx. 18 hours to complete,4.6,793 ratings
819,Decision Criteria & Applications,Business,Finance,"13,580",Approx. 18 hours to complete,4.7,
820,Data-driven Decision Making,Data Science,Data Analysis,"127,816",Beginner Level,4.6,
821,Think Again II: How to Reason Deductively,Personal Development,Personal Development,"25,820",Beginner Level,4.4,265 ratings
822,Deep Learning for Business,Business,Business Strategy,"28,879",Beginner Level,4.4,514 ratings
823,Deep Learning in Computer Vision,Computer Science,Algorithms,"89,590",Advanced Level,3.8,
824,Deep Learning and Reinforcement Learning,Data Science,Machine Learning,"8,988",Intermediate Level,,
825,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Data Science,Machine Learning,"1,133,470",Beginner Level,4.9,"54,943 ratings"
826,Deep Neural Networks with PyTorch,Data Science,Machine Learning,"159,743",Intermediate Level,4.4,
827,Effectively delivering the news to your audience,Arts and Humanities,Music and Art,"26,055",Intermediate Level,4.8,
828,Presentation skills:  Effective Presentation Delivery,Personal Development,Personal Development,"79,947",Approx. 20 hours to complete,4.7,197 ratings
829,Delivery Problem,Computer Science,Algorithms,"34,824",Beginner Level,4.7,231 ratings
830,Demand Analytics,Business,Business Essentials,"39,983",Beginner Level,4.4,87 ratings
831,Demand management: Breaking down today’s commercial silos,Business,Business Strategy,"19,378",Approx. 14 hours to complete,4.8,272 ratings
832,"Living with Dementia: Impact on Individuals, Caregivers, Communities and Societies",Health,Patient Care,"24,799",Beginner Level,4.7,168 ratings
833,"Dense Gases, Liquids and Solids",Physical Science and Engineering,Mechanical Engineering,"8,421",Advanced Level,4.4,93 ratings
834,Introduction to Dental Medicine,Health,Basic Science,"60,531",Beginner Level,4.8,
835,Dentistry 101,Health,Patient Care,"58,926",Beginner Level,4.7,144 ratings
836,Planning for your G Suite Deployment,Computer Science,Computer Security and Networks,"19,582",Beginner Level,4.8,125 ratings
837,Deploying Machine Learning Models,Data Science,Data Analysis,"16,300",Approx. 11 hours to complete,,
838,Architecting with Google Kubernetes Engine: Production,Computer Science,Software Development,"39,610",Intermediate Level,4.7,
839,Architecting with Google Kubernetes Engine: Workloads,Computer Science,Software Development,"73,644",Intermediate Level,4.7,891 ratings
840,Dermatology: Trip to skin,Health,Public Health,"51,885",Beginner Level,4.3,
841,Cities are back in town : sociología urbana para un mundo globalizado,Social Sciences,Governance and Society,"8,819",Beginner Level,,58 ratings
842,"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",Data Science,Data Analysis,"170,769",Approx. 21 hours to complete,4.7,"1,742 ratings"
843,Design: Creation of Artifacts in Society,Business,Entrepreneurship,"42,728",Beginner Level,4.7,318 ratings
844,Designing and Implementing Your Coaching Strategy,Business,Leadership and Management,"3,597",Approx. 40 hours to complete,4.6,
845,Design of High-Performance Optical Systems,Physical Science and Engineering,Electrical Engineering,"14,270",Advanced Level,4.6,
846,The Language of Design: Form and Meaning,Arts and Humanities,Music and Art,"57,481",Beginner Level,4.6,
847,Design Patterns,Computer Science,Software Development,"103,290",Intermediate Level,4.7,769 ratings
848,Design Principles: an Introduction,Computer Science,Design and Product,"44,561",Beginner Level,4.6,"1,248 ratings"
849,User Research and Design,Computer Science,Design and Product,"25,084",Approx. 8 hours to complete,4.6,358 ratings
850,Design and Analyze Secure Networked Systems,Computer Science,Computer Security and Networks,"41,249",Intermediate Level,3.8,
851,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,Business,Business Strategy,"51,211",Intermediate Level,4.6,
852,Innovation & Entrepreneurship - From Design Thinking to Funding,Business,Entrepreneurship,"14,163",Intermediate Level,4.7,
853,Design Thinking and Predictive Analytics for Data Products,Data Science,Data Analysis,"11,281",Intermediate Level,,41 ratings
854,Design your own trading strategy – Culminating Project,Business,Finance,"14,179",Intermediate Level,4.5,83 ratings
855,"Designing, Running, and Analyzing Experiments",Computer Science,Design and Product,"26,582",Intermediate Level,3.6,502 ratings
856,Designing the Future of Work,Business,Business Strategy,"21,472",Beginner Level,4.7,108 ratings
857,Designing the Organization,Business,Leadership and Management,"142,877",Approx. 13 hours to complete,4.6,"1,147 ratings"
858,Print and Digital Elements of Design: Branding and User Experience,Arts and Humanities,History,"21,053",Beginner Level,4.8,76 ratings
859,Detect and Mitigate Ethical Risks,Data Science,Machine Learning,"3,158",Approx. 19 hours to complete,,
860,Detecting and Mitigating Cyber Threats and Attacks,Information Technology,Security,"36,485",Beginner Level,4.7,
861,Develop and Deploy Windows Applications on Google Cloud Platform,Computer Science,Computer Security and Networks,"10,738",Beginner Level,4.6,
862,Developing Your Musicianship,Arts and Humanities,Music and Art,"125,929",Approx. 17 hours to complete,4.9,
863,Developing a Google SRE Culture,Business,Leadership and Management,"37,990",Beginner Level,4.7,
864,Developing an Agile Team,Business,Leadership and Management,"2,640",Approx. 9 hours to complete,,
865,Developing AI Applications on Azure,Data Science,Machine Learning,"57,343",Approx. 16 hours to complete,4.4,
866,Developing the SIR Model,Health,Public Health,"23,460",Intermediate Level,4.9,
867,Teaching in University Science Laboratories (Developing Best Practice),Physical Science and Engineering,Chemistry,"16,603",Approx. 14 hours to complete,4.7,52 ratings
868,Cities are back in town : sociologie urbaine pour un monde globalisé,Social Sciences,Governance and Society,"2,956",Beginner Level,,22 ratings
869,Device-based Models with TensorFlow Lite,Computer Science,Software Development,"54,690",Approx. 10 hours to complete,4.6,300 ratings
870,DevOps Culture and Mindset,Computer Science,Software Development,"65,362",Intermediate Level,4.8,
871,Diabetes - a Global Challenge,Health,Public Health,"50,604",Approx. 17 hours to complete,4.8,497 ratings
872,Diabetes – the Essential Facts,Health,Nutrition,"123,025",Beginner Level,4.7,"1,224 ratings"
873,Differential Equations for Engineers,Math and Logic,Math and Logic,"144,105",Approx. 27 hours to complete,4.9,
874,Calculus: Single Variable Part 2 - Differentiation,Math and Logic,Math and Logic,"20,044",Approx. 10 hours to complete,4.8,696 ratings
875,Fundamentals of Digital Image and Video Processing,Physical Science and Engineering,Electrical Engineering,"74,532",Approx. 36 hours to complete,4.6,
876,Introduction to the Digital Advertising Landscape,Business,Marketing,"102,823",Beginner Level,4.5,198 ratings
877,Digital Marketing Analytics in Practice,Data Science,Data Analysis,"174,298",Beginner Level,4.5,"2,833 ratings"
878,Digital Business Models,Business,Business Strategy,"45,694",Beginner Level,4.5,
879,Digital Competition in Financial Services,Business,Business Strategy,"65,900",Beginner Level,4.6,664 ratings
880,Securing Digital Democracy,Computer Science,Computer Security and Networks,"9,727",Approx. 14 hours to complete,4.8,124 ratings
881,Digital Footprint,Personal Development,Personal Development,"22,761",Beginner Level,4.6,398 ratings
882,Information & Digital Literacy for University Success,Social Sciences,Education,"341,428",Beginner Level,4.9,741 ratings
883,Digital Manufacturing & Design,Physical Science and Engineering,Mechanical Engineering,"94,787",Beginner Level,4.7,"2,816 ratings"
884,Digital Marketing Capstone,Business,Marketing,"48,362",Approx. 13 hours to complete,4.5,
885,Powerful Tools for Teaching and Learning: Digital Storytelling,Social Sciences,Education,"26,821",Beginner Level,4.6,110 ratings
886,Digital Systems: From Logic Gates to Processors,Physical Science and Engineering,Electrical Engineering,"104,867",Intermediate Level,4.4,506 ratings
887,Digital Thread: Components,Physical Science and Engineering,Mechanical Engineering,"26,659",Beginner Level,4.6,
888,Digital Thread: Implementation,Physical Science and Engineering,Mechanical Engineering,"26,167",Beginner Level,4.7,
889,Digital Transformation of Financial Services - Capstone Project,Business,Business Strategy,"11,055",Intermediate Level,4.4,118 ratings
890,Impact from Digital Transformation: Full course,Business,Leadership and Management,"9,217",Beginner Level,4.5,19 ratings
891,Impact from digital transformation: A Nano course,Business,Business Strategy,"3,081",Beginner Level,4.5,
892,Digital transformation of megapolises: from zero to #1 in UN digital e-government ranking,Business,Leadership and Management,"5,624",Beginner Level,,
893,Digital Transformations,Business,Business Strategy,"88,799",Beginner Level,4.7,589 ratings
894,Digitalization in International Relations,Information Technology,Networking,"2,964",Approx. 16 hours to complete,,
895,Creative Programming for Digital Media & Mobile Apps,Computer Science,Software Development,"6,923",Approx. 25 hours to complete,4.2,48 ratings
896,Dino 101: Dinosaur Paleobiology,Health,Basic Science,"173,473",Beginner Level,4.9,"2,187 ratings"
897,Diode - pn Junction and Metal Semiconductor Contact,Physical Science and Engineering,Electrical Engineering,"24,021",Advanced Level,4.5,138 ratings
898,Disability Awareness and Support,Social Sciences,Education,"8,348",Approx. 7 hours to complete,4.6,181 ratings
899,Disability Inclusion in Education: Building Systems of Support ,Social Sciences,Education,"21,285",Beginner Level,4.8,109 ratings
900,Disaster Preparedness,Physical Science and Engineering,Environmental Science and Sustainability,"97,540",Beginner Level,4.7,
901,Disaster Risk Management and Korean Policies,Physical Science and Engineering,Environmental Science and Sustainability,"13,809",Approx. 19 hours to complete,,33 ratings
902,Valuation for Startups Using Discounted Cash Flows Approach,Business,Finance,"22,280",Beginner Level,4.4,251 ratings
903,Single Variable Calculus,Math and Logic,Math and Logic,"17,345",Approx. 14 hours to complete,4.7,
904,Discrete Math and Analyzing Social Graphs,Math and Logic,Math and Logic,"119,280",Approx. 20 hours to complete,4.5,
905,Discrete Mathematics,Math and Logic,Math and Logic,"25,499",Intermediate Level,3.4,123 ratings
906,Discrete Optimization,Computer Science,Algorithms,"71,274",Intermediate Level,4.9,509 ratings
907,Disease Clusters,Health,Public Health,"21,774",Approx. 7 hours to complete,4.7,256 ratings
908,From Disease to Genes and Back,Health,Basic Science,"53,392",Intermediate Level,4.7,171 ratings
909,"Disinformation, Misinformation, and Fake News Teach-Out ",Arts and Humanities,Philosophy,"41,872",Beginner Level,4.9,8 ratings
910,Displays,Physical Science and Engineering,Electrical Engineering,"5,162",Advanced Level,4.2,28 ratings
911,Distributed Programming in Java,Computer Science,Software Development,"28,634",Intermediate Level,4.6,387 ratings
912,Optimizing Diversity on Teams,Business,Leadership and Management,"11,742",Beginner Level,4.3,91 ratings
913,Diversity and inclusion in the workplace,Business,Leadership and Management,"87,799",Beginner Level,4.7,402 ratings
914,Building Web Applications in Django,Computer Science,Mobile and Web Development,"122,208",Intermediate Level,4.7,209 ratings
915,Web Application Technologies and Django,Computer Science,Mobile and Web Development,"243,324",Intermediate Level,4.7,549 ratings
916,Django Features and Libraries,Computer Science,Mobile and Web Development,"77,156",Intermediate Level,4.8,88 ratings
917,"Using JavaScript, JQuery, and JSON in Django",Computer Science,Mobile and Web Development,"40,440",Intermediate Level,4.7,66 ratings
918,Finding Hidden Messages in DNA (Bioinformatics I),Health,Health Informatics,"97,858",Beginner Level,4.5,757 ratings
919,DNA Decoded,Health,Basic Science,"77,547",Intermediate Level,4.8,
920,Finding Mutations in DNA and Proteins (Bioinformatics VI),Health,Health Informatics,"8,443",Beginner Level,4.7,51 ratings
921,Algorithms for DNA Sequencing,Data Science,Data Analysis,"55,345",Approx. 12 hours to complete,4.8,649 ratings
922,Dog Emotion and Cognition,Health,Animal Health,"183,793",Approx. 22 hours to complete,4.7,"3,529 ratings"
923,Doing Business in China Capstone,Business,Business Strategy,"2,312",Beginner Level,,9 ratings
924,Doing Business in Europe,Business,Business Strategy,"4,507",Beginner Level,4.4,86 ratings
925,"Doping : Sports, Organizations and Sciences",Social Sciences,Governance and Society,"8,062",Approx. 14 hours to complete,4.6,
926,Drug Commercialization ,Health,Healthcare Management,"79,337",Beginner Level,4.7,772 ratings
927,Drug Development,Health,Research,"126,986",Beginner Level,4.7,"1,423 ratings"
928,Drug Discovery ,Health,Healthcare Management,"158,576",Beginner Level,4.6,"1,793 ratings"
929,"Drugs, drug use, drug policy and health ",Health,Public Health,"48,959",Beginner Level,4.7,138 ratings
930,Fundamentals of Scalable Data Science,Data Science,Data Analysis,"81,331",Beginner Level,4.3,"1,667 ratings"
931,Digital Signal Processing 1: Basic Concepts and Algorithms,Physical Science and Engineering,Electrical Engineering,"146,299",Intermediate Level,4.6,208 ratings
932,Digital Signal Processing 2: Filtering,Physical Science and Engineering,Electrical Engineering,"33,498",Intermediate Level,4.6,59 ratings
933,Digital Signal Processing 3: Analog vs Digital,Physical Science and Engineering,Electrical Engineering,"24,429",Intermediate Level,4.9,9 ratings
934,Digital Signal Processing 4: Applications,Physical Science and Engineering,Electrical Engineering,"15,165",Intermediate Level,,
935,Behavioral Finance,Business,Finance,"103,454",Approx. 5 hours to complete,4.4,
936,"Programming Foundations with JavaScript, HTML and CSS",Computer Science,Mobile and Web Development,"1,075,578",Beginner Level,4.6,"10,493 ratings"
937,"Data Warehouse Concepts, Design, and Data Integration",Computer Science,Design and Product,"72,381",Approx. 23 hours to complete,4.4,898 ratings
938,Relational Database Support for Data Warehouses,Data Science,Data Analysis,"17,109",Approx. 22 hours to complete,4.6,557 ratings
939,Dynamical Modeling Methods for Systems Biology,Health,Health Informatics,"12,760",Approx. 19 hours to complete,4.7,
940,Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,Physical Science and Engineering,Mechanical Engineering,"86,762",Approx. 23 hours to complete,4.8,
941,Amazon DynamoDB: Building NoSQL Database-Driven Applications,Information Technology,Cloud Computing,"20,997",Intermediate Level,4.8,
942,Supporting children with difficulties in reading and writing,Social Sciences,Education,"133,022",Approx. 17 hours to complete,4.8,941 ratings
943,Mastering Remote Work and Online Study in U.S. in the post-COVID Era,Social Sciences,Education,"5,259",Approx. 24 hours to complete,,13 ratings
944,Paleontology: Early Vertebrate Evolution,Health,Basic Science,"17,118",Approx. 7 hours to complete,4.8,845 ratings
945,The Dynamic Earth: A Course for Educators,Physical Science and Engineering,Environmental Science and Sustainability,"11,441",Approx. 8 hours to complete,4.7,
946,Our Earth's Future,Physical Science and Engineering,Environmental Science and Sustainability,"40,146",Approx. 8 hours to complete,4.7,
947,Earth Economics,Social Sciences,Economics,"9,933",Approx. 21 hours to complete,4.5,13 ratings
948,Easing Physical Symptoms: It's Not Just Hospice Anymore,Health,Patient Care,"5,065",Beginner Level,4.8,53 ratings
949,"Easing the burden of obesity, diabetes and cardiovascular disease",Health,Public Health,"16,789",Beginner Level,4.5,
950,Ebola: Essential Knowledge for Health Professionals,Health,Patient Care,"2,888",Approx. 17 hours to complete,4.6,
951,Ebola Virus Disease: An Evolving Epidemic,Health,Public Health,"6,154",Approx. 17 hours to complete,4.7,185 ratings
952,The Sun and the Total Eclipse of August 2017,Physical Science and Engineering,Physics and Astronomy,"3,059",Beginner Level,4.7,63 ratings
953,Ecological and Energy Transitions in Southern Countries,Social Sciences,Economics,0,Intermediate Level,,12 ratings
954,Ecology: from cells to Gaia,Health,Basic Science,"26,481",Intermediate Level,4.4,
955,Ecology: Ecosystem Dynamics and Conservation,Health,Basic Science,"92,622",Intermediate Level,4.8,"1,854 ratings"
956,Economic Growth and Distributive Justice Part I -The Role of the State,Social Sciences,Law,"13,883",Approx. 8 hours to complete,4.7,
957,Economic Growth and Distributive Justice Part II - Maximize Social Wellbeing,Social Sciences,Law,"7,941",Approx. 8 hours to complete,4.6,104 ratings
958,Understanding economic policymaking,Social Sciences,Governance and Society,"48,219",Approx. 15 hours to complete,4.8,864 ratings
959,فهم صنع السياسات الاقتصادية,Social Sciences,Governance and Society,"3,225",Approx. 15 hours to complete,4.7,18 ratings
960,Economics of Transition and Emerging Markets,Social Sciences,Economics,"9,352",Beginner Level,4.2,121 ratings
961,Understanding Russian Economy. Problems of Transition,Social Sciences,Economics,"6,384",Approx. 15 hours to complete,4.7,
962,China’s Economic Transformation Part 1: Economic Reform and Growth in China,Social Sciences,Economics,"10,695",Approx. 12 hours to complete,4.8,96 ratings
963,Ecosystem Services: a Method for Sustainable Development,Physical Science and Engineering,Environmental Science and Sustainability,"45,965",Intermediate Level,4.7,375 ratings
964,Electronic Music Performance Techniques,Arts and Humanities,Music and Art,"10,626",Approx. 7 hours to complete,4.1,10 ratings
965,Fundamentals of Music Theory,Arts and Humanities,Music and Art,"217,130",Beginner Level,4.6,
966,"American Education Reform: History, Policy, Practice",Arts and Humanities,History,"8,561",Approx. 15 hours to complete,4.7,
967,Educating Deaf Children: Becoming an Empowered Teacher,Social Sciences,Education,"49,919",Beginner Level,4.9,57 ratings
968,Effective Communication Capstone Project,Business,Business Essentials,"9,036",Beginner Level,4.7,42 ratings
969,Effective Communication in the Globalised Workplace - The Capstone,Personal Development,Personal Development,"2,427",Approx. 4 hours to complete,4.6,9 ratings
970,Effective Compliance Programs,Business,Business Essentials,"32,880",Approx. 11 hours to complete,4.9,342 ratings
971,Content Strategy for Professionals: Ensuring Your Content's Impact,Business,Marketing,"7,086",Approx. 5 hours to complete,4.6,146 ratings
972,Strategies for Effective Engagement ,Business,Leadership and Management,"9,566",Beginner Level,,
973,Establishing a Professional ‘Self’ through Effective Intercultural Communication,Personal Development,Personal Development,"42,944",Approx. 10 hours to complete,4.5,143 ratings
974,Effective Sales – An Overview,Business,Business Strategy,"22,052",Intermediate Level,4.6,166 ratings
975,L’Egitto prima e dopo i faraoni. Dalla nascita dello Stato (3000 a.C. ca.) alle prime comunità cristiane (IV secolo d.C.),Arts and Humanities,History,"3,059",Beginner Level,4.7,
976,eHealth: More than just an electronic record,Health,Healthcare Management,"24,932",Approx. 12 hours to complete,4.6,203 ratings
977,Understanding Einstein: The Special Theory of Relativity,Physical Science and Engineering,Physics and Astronomy,"173,140",Beginner Level,4.9,
978,Elastic Cloud Infrastructure: Scaling and Automation dalam bahasa Indonesia,Information Technology,Cloud Computing,"1,573",Intermediate Level,4.9,225 ratings
979,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,Social Sciences,Education,"65,999",Approx. 19 hours to complete,4.6,263 ratings
980,Electric Power Systems,Physical Science and Engineering,Electrical Engineering,"281,038",Beginner Level,4.7,
981,Electric Utilities Fundamentals and Future,Physical Science and Engineering,Environmental Science and Sustainability,"27,385",Beginner Level,4.7,
982,Electric Industry Operations and Markets,Physical Science and Engineering,Environmental Science and Sustainability,"86,721",Beginner Level,4.7,
983,Electrodynamics: Analysis of Electric Fields,Physical Science and Engineering,Electrical Engineering,"12,191",Advanced Level,4.8,106 ratings
984,Electrodynamics: Electric and Magnetic Fields,Physical Science and Engineering,Electrical Engineering,"14,305",Advanced Level,4.8,
985,Electrodynamics: An Introduction,Physical Science and Engineering,Electrical Engineering,"35,104",Intermediate Level,4.7,357 ratings
986,Electrodynamics: In-depth Solutions for Maxwell’s Equations,Physical Science and Engineering,Electrical Engineering,"7,812",Advanced Level,4.8,77 ratings
987,Introduction to Electronics,Physical Science and Engineering,Electrical Engineering,"330,645",Approx. 46 hours to complete,4.7,
988,Assessing Achievement with the ELL in Mind,Social Sciences,Education,"5,811",Approx. 22 hours to complete,4.5,79 ratings
989,Engaging ELLs and Their Families in the School and Community,Social Sciences,Education,"1,647",Approx. 19 hours to complete,4.5,45 ratings
990,Lesson Planning with the ELL in Mind,Social Sciences,Education,"13,033",Approx. 17 hours to complete,4.7,154 ratings
991,ELL Success in the Content Classroom: Capstone Project,Social Sciences,Education,"1,652",Approx. 14 hours to complete,,8 ratings
992,Embedded Hardware and Operating Systems,Computer Science,Software Development,"57,074",Intermediate Level,4.2,530 ratings
993,Embedded Software and Hardware Architecture,Physical Science and Engineering,Electrical Engineering,"47,634",Intermediate Level,4.6,274 ratings
994,Emergence of Life,Health,Basic Science,"20,442",Beginner Level,4.3,
995,"Emergency Care: Pregnancy, Infants, and Children",Health,Patient Care,"49,039",Beginner Level,4.8,137 ratings
996,Emergent Phenomena in Science and Everyday Life,Physical Science and Engineering,Physics and Astronomy,"7,073",Approx. 12 hours to complete,4.3,111 ratings
997,Exploring Emerging Technologies for Lifelong Learning and Success,Personal Development,Personal Development,"48,966",Approx. 6 hours to complete,4.1,227 ratings
998,Leadership and Emotional Intelligence ,Business,Leadership and Management,"430,177",Beginner Level,4.8,"3,316 ratings"
999,القيادة والذكاء العاطفي,Business,Leadership and Management,"13,277",Beginner Level,4.8,111 ratings
1000,Inspiring Leadership through Emotional Intelligence,Business,Leadership and Management,"127,511",Beginner Level,4.7,"1,026 ratings"
1001,Emotions: a Philosophical Introduction,Arts and Humanities,Philosophy,"22,539",Beginner Level,4.3,
1002,Managing Employee Performance,Business,Business Essentials,"186,337",Approx. 15 hours to complete,4.7,"1,581 ratings"
1003,Empowering Yourself in a Post-Truth World,Personal Development,Personal Development,"7,980",Beginner Level,,7 ratings
1004,EMT Foundations,Health,Patient Care,"108,455",Beginner Level,4.8,459 ratings
1005,End-to-End Machine Learning with TensorFlow on GCP,Data Science,Data Analysis,"46,807",Advanced Level,4.5,
1006,Fundamentals of Global Energy Business,Physical Science and Engineering,Environmental Science and Sustainability,"22,961",Approx. 20 hours to complete,4.6,
1007,"Energy, Environment, and Everyday Life",Physical Science and Engineering,Environmental Science and Sustainability,"102,831",Beginner Level,4.7,111 ratings
1008,Energy: The Enterprise,Physical Science and Engineering,Electrical Engineering,"57,468",Beginner Level,4.7,837 ratings
1009,Biochemical Principles of Energy Metabolism,Health,Basic Science,"48,148",Beginner Level,4.8,411 ratings
1010,Content Strategy for Professionals: Engaging Audiences,Business,Marketing,"24,389",Approx. 5 hours to complete,4.6,500 ratings
1011,Engineering Design Process with Autodesk Fusion 360,Physical Science and Engineering,Mechanical Engineering,"64,999",Advanced Level,4.7,
1012,Engineering Health: Introduction to Yoga and Physiology,Health,Basic Science,"84,377",Beginner Level,4.8,196 ratings
1013,Introduction to Public Health Engineering in Humanitarian Contexts,Physical Science and Engineering,Environmental Science and Sustainability,"15,579",Beginner Level,4.8,222 ratings
1014,Introduction to Engineering Mechanics,Physical Science and Engineering,Mechanical Engineering,"191,866",Approx. 15 hours to complete,4.8,"3,430 ratings"
1015,Applications in Engineering Mechanics,Physical Science and Engineering,Mechanical Engineering,"51,544",Approx. 16 hours to complete,4.8,
1016,Engineering Practices for Building Quality Software,Computer Science,Software Development,"63,007",Intermediate Level,4.3,54 ratings
1017,Writing Skills for Engineering Leaders,Business,Leadership and Management,"39,326",Beginner Level,4.7,297 ratings
1018,Engineering Maintainable Android Apps,Computer Science,Mobile and Web Development,"20,957",Approx. 9 hours to complete,4.5,235 ratings
1019,English for Common Interactions in the Workplace: Basic Level,Language Learning,Learning English,"173,450",Approx. 8 hours to complete,4.8,
1020,Take Your English Communication Skills to the Next Level,Language Learning,Learning English,"204,271",Approx. 12 hours to complete,4.8,
1021,English Composition I,Arts and Humanities,History,"224,754",Beginner Level,4.6,631 ratings
1022,Business English: Final Project,Language Learning,Learning English,"10,637",Intermediate Level,,18 ratings
1023,English for Effective  Business Writing,Language Learning,Learning English,"63,626",Approx. 25 hours to complete,4.5,215 ratings
1024,Teach English Now! Foundational Principles,Social Sciences,Education,"598,471",Approx. 21 hours to complete,4.9,
1025,Enjoyable Econometrics,Data Science,Probability and Statistics,"14,271",Beginner Level,4.1,
1026,Enterprise Architecture,Business,Business Essentials,"38,565",Beginner Level,4.4,102 ratings
1027,Enterprise and Infrastructure Security,Computer Science,Computer Security and Networks,"12,312",Intermediate Level,4.7,345 ratings
1028,Introduction to Enterprise Resiliency,Information Technology,Cloud Computing,0,Approx. 6 hours to complete,,
1029,Enterprise System Management and Security ,Information Technology,Security,"43,018",Beginner Level,4.6,465 ratings
1030,Enterprise Systems,Information Technology,Support and Operations,"47,040",Approx. 8 hours to complete,4.7,
1031,The entrepreneur's guide for beginners,Business,Entrepreneurship,"17,037",Beginner Level,4.6,72 ratings
1032,Developing An Entrepreneurial Mindset: First Step Towards Success ,Business,Entrepreneurship,"113,651",Approx. 14 hours to complete,4.4,329 ratings
1033,Entrepreneurial Strategic Management,Business,Entrepreneurship,"8,715",Approx. 8 hours to complete,4.5,
1034,Essentials of Entrepreneurship: Thinking & Action,Business,Entrepreneurship,"77,877",Approx. 5 hours to complete,4.6,"2,004 ratings"
1035,How Entrepreneurs in Emerging Markets can master the Blockchain Technology,Business,Finance,"4,543",Beginner Level,4.6,23 ratings
1036,Entrepreneurship,Business,Business Strategy,"30,639",Beginner Level,4.8,
1037,Entrepreneurship I: Laying the Foundation,Business,Entrepreneurship,"144,207",Approx. 14 hours to complete,4.8,608 ratings
1038,Entrepreneurship II: Preparing for Launch,Business,Entrepreneurship,"138,619",Approx. 13 hours to complete,4.8,455 ratings
1039,Entrepreneurship Capstone ,Business,Entrepreneurship,"17,444",Beginner Level,4.6,130 ratings
1040,Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,Business,Entrepreneurship,"6,189",Approx. 15 hours to complete,4.4,118 ratings
1041,Entrepreneurship Strategy: From Ideation to Exit,Business,Leadership and Management,"57,462",Beginner Level,4.8,708 ratings
1042,Introduction to Enumerative Combinatorics,Math and Logic,Math and Logic,"11,450",Intermediate Level,4.7,
1043,Introduction to Environmental Law and Policy,Social Sciences,Law,"137,957",Approx. 15 hours to complete,4.8,"1,821 ratings"
1044,Environmental Management & Ethics,Physical Science and Engineering,Environmental Science and Sustainability,"46,359",Approx. 13 hours to complete,4.6,
1045,"Epidemics, Pandemics and Outbreaks",Social Sciences,Governance and Society,"63,134",Approx. 12 hours to complete,4.7,"1,750 ratings"
1046,Epidemics - the Dynamics of Infectious Diseases,Health,Basic Science,"62,940",Approx. 17 hours to complete,4.8,"1,201 ratings"
1047,Epidemiology: The Basic Science of Public Health,Health,Public Health,"161,834",Approx. 7 hours to complete,4.6,"3,139 ratings"
1048,Surveillance Systems: The Building Blocks,Health,Public Health,"18,627",Beginner Level,4.8,257 ratings
1049,"Surveillance Systems: Analysis, Dissemination, and Special Systems",Health,Public Health,"19,058",Beginner Level,4.7,
1050,Essential Epidemiologic Tools for Public Health Practice,Health,Public Health,"76,586",Beginner Level,4.7,"1,772 ratings"
1051,Epigenetic Control of Gene Expression,Health,Basic Science,"54,934",Approx. 17 hours to complete,4.8,668 ratings
1052,Build Your Professional ePortfolio in English,Language Learning,Learning English,"324,318",Approx. 13 hours to complete,4.7,"1,103 ratings"
1053,Equine Welfare and Management,Health,Animal Health,"25,161",Beginner Level,4.9,168 ratings
1054,Equivalent Circuit Cell Model Simulation,Physical Science and Engineering,Electrical Engineering,"70,937",Intermediate Level,4.7,
1055,Econometrics: Methods and Applications,Data Science,Probability and Statistics,"104,521",Approx. 66 hours to complete,4.6,984 ratings
1056,The Politics of Skepticism,Arts and Humanities,Philosophy,"5,829",Intermediate Level,4.6,
1057,Teaching EFL/ESL Reading: A Task Based Approach,Social Sciences,Education,"51,776",Intermediate Level,4.7,289 ratings
1058,"""Espace mondial"" الرؤية الفرنسية للدراسات العالمية",Social Sciences,Governance and Society,"1,859",Approx. 15 hours to complete,,33 ratings
1059,Esports Management Capstone Project,Business,Leadership and Management,"4,479",Beginner Level,4.4,22 ratings
1060,Esports Teams and Professional Players,Business,Leadership and Management,"4,739",Beginner Level,4.5,
1061,Essential Cloud Infrastructure: Core Services dalam bahasa Indonesia,Information Technology,Cloud Computing,"1,634",Intermediate Level,4.9,279 ratings
1062,Essential Cloud Infrastructure: Foundation dalam bahasa Indonesia,Information Technology,Cloud Computing,"2,318",Intermediate Level,4.9,362 ratings
1063,Essentials of Global Health,Health,Public Health,"227,985",Approx. 65 hours to complete,4.8,"1,261 ratings"
1064,Essentials of Palliative Care,Health,Patient Care,"1,601",Approx. 10 hours to complete,,
1065,Communicate Effectively about Ethical Challenges in Data-Driven Technologies,Data Science,Machine Learning,"2,137",Approx. 14 hours to complete,,
1066,Create and Lead an Ethical Data-Driven Organization,Data Science,Machine Learning,"1,649",Approx. 12 hours to complete,,
